Distrito,Cluster,OLT,F,S,P,Código QR,Cuenta,Puerto N2,Serie ONT,Conteo,Status Port,Codigos QR,Fecha,,Actualización Puerto,Latitud,Longitud,Nombre SP,Capacidad,Ubicacion,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP249432,,,,,,,,,,31.725881,-106.495975,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP250733,,,,,,,,,,31.726262,-106.498828,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP991197,,,,,,,,,,31.728112,-106.495266,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP991197,,,,,,,,,,31.728112,-106.495266,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP991197,,,,,,,,,,31.728112,-106.495266,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP991197,,,,,,,,,,31.728112,-106.495266,,,,
CIUDAD JUAREZ,ALDAMA,ALDAMA_2_JUA,3,1,1,TP991197,,,,,,,,,,31.728112,-106.495266,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP246840,,,,,,,,,,31.763677,-106.533635,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249437,,,,,,,,,,31.762437,-106.539703,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP249783,,,,,,,,,,31.765513,-106.537297,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP253391,,,,,,,,,,31.762238,-106.532203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP253391,,,,,,,,,,31.762238,-106.532203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP253391,,,,,,,,,,31.762238,-106.532203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP253391,,,,,,,,,,31.762238,-106.532203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP253391,,,,,,,,,,31.762238,-106.532203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255194,,,,,,,,,,31.764458,-106.53809,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255403,,,,,,,,,,31.767188,-106.535203,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255664,,,,,,,,,,31.764184,-106.534665,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255665,,,,,,,,,,31.766013,-106.535766,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255665,,,,,,,,,,31.766013,-106.535766,,,,
CIUDAD JUAREZ,AMPLIACION ALDAMA 3,ALDAMA_2_JUA,3,1,2,TP255665,,,,,,,,,,31.766013,-106.535766,,,,
